designer,perfume_count,average_rating,min_rating,max_rating
yas perfumes perfumes and colognes,1,4.5,4.5,4.5
proud perfumes and colognes,1,4.5,4.5,4.5
art deco perfumes perfumes and colognes,2,4.5,4.5,4.5
frey wille perfumes and colognes,1,4.5,4.5,4.5
ard al zaafaran perfumes and colognes,1,4.5,4.5,4.5
hi wildflower botanica perfumes and colognes,1,4.5,4.5,4.5
fl parfums perfumes and colognes,3,4.5,3.5,5.0
astre d'orient perfumes and colognes,1,4.5,4.5,4.5
arcana craves perfumes and colognes,3,4.5,4.0,5.0
roseto 1927 perfumes and colognes,1,4.5,4.5,4.5
fumparfum perfumes and colognes,1,4.5,4.5,4.5
absolue diamond perfumes and colognes,1,4.5,4.5,4.5
hendley perfumes perfumes and colognes,1,4.5,4.5,4.5
arman manoukian parfums perfumes and colognes,1,4.5,4.5,4.5
extract perfumes and colognes,1,4.5,4.5,4.5
abahna perfumes and colognes,1,4.5,4.5,4.5
sfumato perfumes and colognes,1,4.5,4.5,4.5
naseem perfumes and colognes,1,4.5,4.5,4.5
sense of scent perfumes and colognes,1,4.5,4.5,4.5
roveri & aura perfumes and colognes,1,4.5,4.5,4.5
emeshel perfumes and colognes,1,4.5,4.5,4.5
emanuela biffoli perfumes and colognes,1,4.5,4.5,4.5
the world in scents perfumes and colognes,1,4.5,4.5,4.5
acqua di taormina parfums perfumes and colognes,1,4.5,4.5,4.5
jacadi perfumes and colognes,1,4.5,4.5,4.5
bravanariz perfumes and colognes,1,4.5,4.5,4.5
the woods collection perfumes and colognes,1,4.5,4.5,4.5
helio perfumes and colognes,1,4.5,4.5,4.5
guy laroche perfumes and colognes,1,4.49,4.49,4.49
faberge perfumes and colognes,1,4.48,4.48,4.48
love & nature perfumes and colognes,1,4.48,4.48,4.48
anna zworykina perfumes perfumes and colognes,1,4.47,4.47,4.47
abdul karim al faransi perfumes and colognes,2,4.46,4.35,4.57
strangelove nyc perfumes and colognes,1,4.45,4.45,4.45
glenn bracke perfumes and colognes,1,4.45,4.45,4.45
the bubble collection perfumes and colognes,1,4.45,4.45,4.45
clandestine laboratories perfumes and colognes,2,4.445,4.22,4.67
herba london perfumes and colognes,1,4.44,4.44,4.44
mark. perfumes and colognes,1,4.44,4.44,4.44
sharra pagano perfumes and colognes,1,4.44,4.44,4.44
incarna parfums perfumes and colognes,1,4.44,4.44,4.44
anne klein perfumes and colognes,1,4.43,4.43,4.43
lr perfumes and colognes,1,4.43,4.43,4.43
united scents of america perfumes and colognes,3,4.43,4.14,5.0
jo loves perfumes and colognes,1,4.43,4.43,4.43
cacharel perfumes and colognes,1,4.43,4.43,4.43
compagnia delle indie perfumes and colognes,1,4.43,4.43,4.43
ted lapidus perfumes and colognes,1,4.42,4.42,4.42
unomismo perfumes and colognes,1,4.42,4.42,4.42
sharini parfums naturels perfumes and colognes,1,4.42,4.42,4.42
dueto parfums perfumes and colognes,1,4.42,4.42,4.42
phoenix botanicals perfumes and colognes,1,4.42,4.42,4.42
musc et madame perfumes and colognes,2,4.415,4.33,4.5
olfattiva perfumes and colognes,2,4.415,3.83,5.0
yohji yamamoto perfumes and colognes,1,4.41,4.41,4.41
institut très bien perfumes and colognes,1,4.41,4.41,4.41
alexandria fragrances perfumes and colognes,4,4.41,4.18,4.55
eauk perfumes and colognes,1,4.4,4.4,4.4
amyi perfumes and colognes,1,4.4,4.4,4.4
naso di raza perfumes and colognes,1,4.4,4.4,4.4
terranova perfumes and colognes,1,4.4,4.4,4.4
dom prirody perfumes and colognes,1,4.4,4.4,4.4
zeitun perfumes and colognes,1,4.4,4.4,4.4
shulton company perfumes and colognes,1,4.4,4.4,4.4
angelos créations olfactives perfumes and colognes,1,4.4,4.4,4.4
heretic parfums perfumes and colognes,1,4.4,4.4,4.4
maison anonyme perfumes and colognes,1,4.4,4.4,4.4
jousset parfums perfumes and colognes,1,4.4,4.4,4.4
prudence paris perfumes and colognes,2,4.4,3.8,5.0
filles des iles perfumes and colognes,1,4.4,4.4,4.4
sense dubai perfumes and colognes,1,4.4,4.4,4.4
sabe masson perfumes and colognes,2,4.4,4.2,4.6
steve mcqueen perfumes and colognes,1,4.4,4.4,4.4
dzintars perfumes and colognes,14,4.398571428571429,3.33,5.0
louis cardin perfumes and colognes,4,4.395,3.83,5.0
the spirit of dubai perfumes and colognes,1,4.39,4.39,4.39
mdci parfums perfumes and colognes,1,4.39,4.39,4.39
acqua di biella perfumes and colognes,1,4.38,4.38,4.38
note33 perfumes and colognes,1,4.38,4.38,4.38
balenciaga perfumes and colognes,3,4.38,4.26,4.44
kiko milano perfumes and colognes,1,4.38,4.38,4.38
diana de silva perfumes and colognes,1,4.38,4.38,4.38
amado perfumes and colognes,2,4.375,4.25,4.5
durance en provence perfumes and colognes,4,4.375,4.0,5.0
l'ateliero perfumes and colognes,2,4.375,4.25,4.5
borsari perfumes and colognes,2,4.375,4.25,4.5
washington tremlett perfumes and colognes,1,4.37,4.37,4.37
joya perfumes and colognes,1,4.37,4.37,4.37
air-val international perfumes and colognes,4,4.37,3.67,5.0
aaron terence hughes perfumes and colognes,1,4.37,4.37,4.37
quintessence perfumes and colognes,1,4.37,4.37,4.37
la bouche rouge perfumes and colognes,1,4.36,4.36,4.36
al-rehab perfumes and colognes,5,4.36,3.89,5.0
panier des sens perfumes and colognes,1,4.36,4.36,4.36
gianfranco ferre perfumes and colognes,1,4.36,4.36,4.36
michael michalsky perfumes and colognes,1,4.36,4.36,4.36
gloria vanderbilt perfumes and colognes,1,4.36,4.36,4.36
pont des arts perfumes and colognes,1,4.36,4.36,4.36
areej le doré perfumes and colognes,2,4.359999999999999,4.14,4.58
sultan pasha attars perfumes and colognes,2,4.359999999999999,4.34,4.38
bud parfums perfumes and colognes,1,4.35,4.35,4.35
franck muller perfumes and colognes,1,4.35,4.35,4.35
parfums karmic hues perfumes and colognes,1,4.35,4.35,4.35
nikkos-oskol fragrance perfumes and colognes,2,4.335,4.0,4.67
mont st michel perfumes and colognes,2,4.335,3.98,4.69
schiaparelli perfumes and colognes,2,4.335,4.0,4.67
filigree & shadow perfumes and colognes,3,4.333333333333333,4.0,4.5
motörhead perfumes and colognes,1,4.33,4.33,4.33
ilmin parfums perfumes and colognes,2,4.33,4.09,4.57
colornoise perfumes and colognes,1,4.33,4.33,4.33
enrico coveri perfumes and colognes,1,4.33,4.33,4.33
olfacto perfumes and colognes,1,4.33,4.33,4.33
parterre perfumes and colognes,1,4.33,4.33,4.33
acquadì perfumes and colognes,1,4.33,4.33,4.33
anucci perfumes and colognes,1,4.33,4.33,4.33
s.ishira perfumes and colognes,1,4.33,4.33,4.33
the house of potentia perfumes and colognes,1,4.33,4.33,4.33
ikiryō perfumes and colognes,1,4.33,4.33,4.33
michel germain perfumes and colognes,1,4.33,4.33,4.33
laboratoire des endorphines perfumes and colognes,1,4.33,4.33,4.33
uniform perfumes and colognes,1,4.33,4.33,4.33
maison de l'asie perfumes and colognes,1,4.33,4.33,4.33
mutis nueva granada perfumes and colognes,1,4.33,4.33,4.33
scents of man perfumes and colognes,1,4.33,4.33,4.33
guru perfumes perfumes and colognes,1,4.33,4.33,4.33
joliot descartes parfums perfumes and colognes,1,4.33,4.33,4.33
mirra perfumes and colognes,1,4.33,4.33,4.33
houbigant perfumes and colognes,1,4.33,4.33,4.33
alchemic muse perfumes and colognes,1,4.33,4.33,4.33
sergio scaglietti perfumes and colognes,1,4.33,4.33,4.33
atelier rebul perfumes and colognes,1,4.33,4.33,4.33
al shareef oudh perfumes and colognes,1,4.33,4.33,4.33
evaflor perfumes and colognes,1,4.33,4.33,4.33
le ré noir perfumes and colognes,2,4.32,4.14,4.5
daisy fuentes perfumes and colognes,1,4.32,4.32,4.32
atelier segall & barutti perfumes and colognes,2,4.32,4.2,4.44
haught parfums perfumes and colognes,2,4.32,4.14,4.5
caudalie perfumes and colognes,1,4.32,4.32,4.32
fiorucci perfumes and colognes,3,4.316666666666666,3.95,5.0
lilanur parfums perfumes and colognes,1,4.31,4.31,4.31
cultus artem perfumes and colognes,1,4.31,4.31,4.31
decennial perfumes and colognes,1,4.31,4.31,4.31
elementals perfumes and colognes,1,4.31,4.31,4.31
les petits plaisirs perfumes and colognes,3,4.306666666666667,3.89,4.6
jill stuart perfumes and colognes,3,4.303333333333334,4.21,4.43
helan perfumes and colognes,1,4.3,4.3,4.3
miro perfumes and colognes,1,4.3,4.3,4.3
venezia 1920 perfumes and colognes,1,4.3,4.3,4.3
ahwaz fragrance perfumes and colognes,1,4.3,4.3,4.3
chris rusak perfumes and colognes,1,4.3,4.3,4.3
alghabra parfums perfumes and colognes,1,4.3,4.3,4.3
jafra perfumes and colognes,3,4.296666666666667,4.12,4.6
bvlgari perfumes and colognes,2,4.295,3.88,4.71
